source_run,run_type,scenario_key,persona_key,condition_count,completed_condition_count,mean_message_count,mean_agent_a_turn_count,mean_agent_b_turn_count,mean_memory_snapshot_count,mean_candidate_count,mean_unique_route_count,mean_task_state_agreement,mean_constraint_agreement,mean_route_agreement,total_focus_disagreements,evidence_source
20260705_123702_b-n0026,audio_variant,airport_connection,delay_sensitive_traveler,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260705_123702_b-n0026,audio_variant,late_event,verbose_planner,3,2,8.666666666666666,4.666666666666667,4.0,8.666666666666666,4.0,4.0,1.0,1.0,1.0,20.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260705_123702_b-n0026,audio_variant,midday_transfer,distracted_multitasker,4,3,9.0,5.0,4.0,9.0,4.0,3.3333333333333335,1.0,1.0,1.0,15.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260705_123702_b-n0026,audio_variant,morning_peak_cross_city,focused_commuter,3,3,11.0,6.0,5.0,11.0,4.0,4.0,1.0,1.0,1.0,25.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260705_123702_b-n0026,text_only,airport_connection,delay_sensitive_traveler,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260705_123702_b-n0026,text_only,late_event,verbose_planner,3,3,10.333333333333334,5.666666666666667,4.666666666666667,10.333333333333334,4.333333333333333,4.333333333333333,0.6666666666666666,1.0,1.0,25.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260705_123702_b-n0026,text_only,midday_transfer,distracted_multitasker,4,3,9.0,5.0,4.0,9.0,4.0,3.3333333333333335,1.0,1.0,1.0,15.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260705_123702_b-n0026,text_only,morning_peak_cross_city,focused_commuter,3,3,9.666666666666666,5.333333333333333,4.333333333333333,9.666666666666666,4.0,4.0,1.0,1.0,0.6666666666666666,22.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052055_b-n0026,audio_variant,airport_connection,delay_sensitive_traveler,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052055_b-n0026,audio_variant,late_event,verbose_planner,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052055_b-n0026,audio_variant,midday_transfer,distracted_multitasker,4,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052055_b-n0026,audio_variant,morning_peak_cross_city,focused_commuter,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052055_b-n0026,text_only,airport_connection,delay_sensitive_traveler,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052055_b-n0026,text_only,late_event,verbose_planner,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052055_b-n0026,text_only,midday_transfer,distracted_multitasker,4,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052055_b-n0026,text_only,morning_peak_cross_city,focused_commuter,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052215_b-n0026,audio_variant,airport_connection,delay_sensitive_traveler,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052215_b-n0026,audio_variant,late_event,verbose_planner,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052215_b-n0026,audio_variant,midday_transfer,distracted_multitasker,4,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052215_b-n0026,audio_variant,morning_peak_cross_city,focused_commuter,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052215_b-n0026,text_only,airport_connection,delay_sensitive_traveler,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052215_b-n0026,text_only,late_event,verbose_planner,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052215_b-n0026,text_only,midday_transfer,distracted_multitasker,4,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260706_052215_b-n0026,text_only,morning_peak_cross_city,focused_commuter,3,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260707_162702_b-n0001,text_only,morning_peak_cross_city,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260707_162831_b-n0001,audio_variant,morning_peak_cross_city,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260707_163001_b-n0001,text_only,morning_peak_cross_city,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260707_163100_b-n0001,text_only,morning_peak_cross_city,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260707_163131_b-n0001,audio_variant,morning_peak_cross_city,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260707_163501_b-n0001,audio_variant,morning_peak_cross_city,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260707_163633_b-n0001,text_only,morning_peak_cross_city,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260707_163801_b-n0001,audio_variant,morning_peak_cross_city,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260707_163901_b-n0001,text_only,morning_peak_cross_city,focused_commuter,2,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260707_163931_b-n0001,text_only,morning_peak_cross_city,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260707_164001_b-n0001,audio_variant,morning_peak_cross_city,focused_commuter,2,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
