matrix,row_factor,row_level,column_factor,column_level,planned_configuration_count,completed_configuration_count,coverage_percentage,run_ids
TTS x speech pattern,configured_tts_engine,chattts,speech_pattern_key,clean,2,0,0.0,
TTS x speech pattern,configured_tts_engine,file,speech_pattern_key,clean,136,0,0.0,
TTS x speech pattern,configured_tts_engine,file,speech_pattern_key,mostly_clean,108,0,0.0,
TTS x speech pattern,configured_tts_engine,piper,speech_pattern_key,clean,760,0,0.0,
TTS x speech pattern,configured_tts_engine,piper,speech_pattern_key,hesitant,544,0,0.0,
TTS x speech pattern,configured_tts_engine,piper,speech_pattern_key,mostly_clean,448,0,0.0,
TTS x speech pattern,configured_tts_engine,piper,speech_pattern_key,noisy_station,96,0,0.0,
TTS x speech pattern,configured_tts_engine,piper,speech_pattern_key,severe_channel,448,0,0.0,
ASR x search width,configured_asr_engine,faster_whisper,asr_search_width,1,256,0,0.0,
ASR x search width,configured_asr_engine,faster_whisper,asr_search_width,11,128,0,0.0,
ASR x search width,configured_asr_engine,faster_whisper,asr_search_width,16,192,0,0.0,
ASR x search width,configured_asr_engine,faster_whisper,asr_search_width,6,248,0,0.0,
ASR x search width,configured_asr_engine,faster_whisper,asr_search_width,default,2,0,0.0,
ASR x search width,configured_asr_engine,file,asr_search_width,default,244,0,0.0,
ASR x search width,configured_asr_engine,vosk,asr_search_width,1,384,0,0.0,
ASR x search width,configured_asr_engine,vosk,asr_search_width,11,320,0,0.0,
ASR x search width,configured_asr_engine,vosk,asr_search_width,16,448,0,0.0,
ASR x search width,configured_asr_engine,vosk,asr_search_width,6,320,0,0.0,
Agent B model x audio persona,agent_b_model,HuggingFaceTB/SmolLM2-1.7B-Instruct,agent_b_audio_persona,barely_understandable_operator,28,0,0.0,
Agent B model x audio persona,agent_b_model,HuggingFaceTB/SmolLM2-1.7B-Instruct,agent_b_audio_persona,clear_operator,28,0,0.0,
Agent B model x audio persona,agent_b_model,HuggingFaceTB/SmolLM2-1.7B-Instruct,agent_b_audio_persona,degraded_operator,28,0,0.0,
Agent B model x audio persona,agent_b_model,HuggingFaceTB/SmolLM2-1.7B-Instruct,agent_b_audio_persona,high_clarity_operator,40,0,0.0,
Agent B model x audio persona,agent_b_model,HuggingFaceTB/SmolLM2-360M-Instruct,agent_b_audio_persona,barely_understandable_operator,28,0,0.0,
Agent B model x audio persona,agent_b_model,HuggingFaceTB/SmolLM2-360M-Instruct,agent_b_audio_persona,clear_operator,28,0,0.0,
Agent B model x audio persona,agent_b_model,HuggingFaceTB/SmolLM2-360M-Instruct,agent_b_audio_persona,degraded_operator,28,0,0.0,
Agent B model x audio persona,agent_b_model,HuggingFaceTB/SmolLM2-360M-Instruct,agent_b_audio_persona,high_clarity_operator,40,0,0.0,
Agent B model x audio persona,agent_b_model,Qwen/Qwen2.5-0.5B-Instruct,agent_b_audio_persona,barely_understandable_operator,28,0,0.0,
Agent B model x audio persona,agent_b_model,Qwen/Qwen2.5-0.5B-Instruct,agent_b_audio_persona,clear_operator,28,0,0.0,
Agent B model x audio persona,agent_b_model,Qwen/Qwen2.5-0.5B-Instruct,agent_b_audio_persona,degraded_operator,28,0,0.0,
Agent B model x audio persona,agent_b_model,Qwen/Qwen2.5-0.5B-Instruct,agent_b_audio_persona,high_clarity_operator,40,0,0.0,
Agent B model x audio persona,agent_b_model,Qwen/Qwen2.5-1.5B-Instruct,agent_b_audio_persona,barely_understandable_operator,28,0,0.0,
Agent B model x audio persona,agent_b_model,Qwen/Qwen2.5-1.5B-Instruct,agent_b_audio_persona,clear_operator,28,0,0.0,
Agent B model x audio persona,agent_b_model,Qwen/Qwen2.5-1.5B-Instruct,agent_b_audio_persona,degraded_operator,28,0,0.0,
Agent B model x audio persona,agent_b_model,Qwen/Qwen2.5-1.5B-Instruct,agent_b_audio_persona,high_clarity_operator,40,0,0.0,
Agent B model x audio persona,agent_b_model,Qwen/Qwen2.5-7B-Instruct,agent_b_audio_persona,barely_understandable_operator,28,0,0.0,
Agent B model x audio persona,agent_b_model,Qwen/Qwen2.5-7B-Instruct,agent_b_audio_persona,clear_operator,28,0,0.0,
