test_case_key,scenario_key,persona_key,network_seed,constraint_order,stage_count,satisfied_stage_count,constraint_route_change_count,required_constraint_route_change_count,minimum_viable_option_count,minimum_suboptimal_option_count,planned_configuration_count,completed_configuration_count,all_stage_requirements_satisfied,integrity_status
airport_connection,airport_connection,crowd_averse_rider,42,transfers;fullness;delay,4,4,3,3,22,21,64,10,True,pass
airport_connection,airport_connection,delay_sensitive_traveler,29,fullness;delay;transfer_miss,4,4,3,3,3,2,48,0,True,pass
airport_connection,airport_connection,delay_sensitive_traveler,42,fullness;delay;transfer_miss,4,4,3,3,2,1,24,0,True,pass
airport_connection,airport_connection,delay_sensitive_traveler,77,fullness;delay;transfer_miss,4,3,2,3,1,0,64,4,False,fail
airport_connection,airport_connection,focused_commuter,42,transfer_miss;tickets;walking,4,1,2,3,0,0,64,4,False,fail
airport_connection,airport_connection,focused_commuter,77,transfer_miss;tickets;walking,4,1,0,3,1,0,64,4,False,fail
airport_connection,airport_connection,risk_averse_novice,77,transfers;delay;transfer_miss,4,3,2,3,1,0,64,4,False,fail
crowded_event_exit,crowded_event_exit,crowd_averse_rider,77,transfers;fullness;delay,4,4,3,3,4,3,64,10,True,pass
crowded_event_exit,crowded_event_exit,delay_sensitive_traveler,77,fullness;delay;transfer_miss,4,4,3,3,5,4,64,10,True,pass
crowded_event_exit,crowded_event_exit,focused_commuter,42,transfer_miss;tickets;walking,4,4,3,3,2,1,64,10,True,pass
crowded_event_exit,crowded_event_exit,risk_averse_novice,77,transfers;delay;transfer_miss,4,4,3,3,6,5,64,10,True,pass
late_event,late_event,verbose_planner,29,fullness;transfer_miss;tickets,4,4,3,3,4,3,48,0,True,pass
late_event,late_event,verbose_planner,42,fullness;transfer_miss;tickets,4,4,3,3,3,2,24,0,True,pass
midday_transfer,midday_transfer,crowd_averse_rider,77,transfers;fullness;delay,4,4,3,3,19,18,64,10,True,pass
midday_transfer,midday_transfer,delay_sensitive_traveler,42,fullness;delay;transfer_miss,4,4,3,3,6,5,64,10,True,pass
midday_transfer,midday_transfer,distracted_multitasker,29,transfers;fullness;transfer_miss,4,4,3,3,11,10,72,0,True,pass
midday_transfer,midday_transfer,distracted_multitasker,42,transfers;fullness;transfer_miss,4,4,3,3,7,6,24,0,True,pass
midday_transfer,midday_transfer,focused_commuter,42,transfer_miss;tickets;walking,4,4,3,3,5,4,182,21,True,pass
midday_transfer,midday_transfer,risk_averse_novice,42,transfers;delay;transfer_miss,4,4,3,3,7,6,118,11,True,pass
morning_peak_cross_city,morning_peak_cross_city,accessibility_rider,43,transfers;transfer_miss;tickets,4,4,3,3,2,1,12,0,True,pass
morning_peak_cross_city,morning_peak_cross_city,crowd_averse_rider,42,transfers;fullness;delay,4,4,3,3,3,2,192,30,True,pass
morning_peak_cross_city,morning_peak_cross_city,crowd_averse_rider,77,transfers;fullness;delay,4,0,0,3,1,0,64,6,False,fail
morning_peak_cross_city,morning_peak_cross_city,delay_sensitive_traveler,42,fullness;delay;transfer_miss,4,4,3,3,3,2,256,42,True,pass
morning_peak_cross_city,morning_peak_cross_city,focused_commuter,29,transfer_miss;tickets;walking,4,4,3,3,3,2,24,0,True,pass
morning_peak_cross_city,morning_peak_cross_city,focused_commuter,42,transfer_miss;tickets;walking,4,4,3,3,3,2,428,162,True,pass
morning_peak_cross_city,morning_peak_cross_city,focused_commuter,43,transfer_miss;tickets;walking,4,4,3,3,2,1,12,0,True,pass
morning_peak_cross_city,morning_peak_cross_city,risk_averse_novice,42,transfers;delay;transfer_miss,4,4,3,3,6,5,246,30,True,pass
morning_peak_cross_city,morning_peak_cross_city,risk_averse_novice,77,transfers;delay;transfer_miss,4,0,0,3,1,0,64,6,False,fail
